"station_code","station_name","year","month","day","date","air_tmax","air_tmax_source","air_tmin","air_tmin_source","elev_m","et_morton_actual","et_morton_actual_source","et_morton_potential","et_morton_potential_source","et_morton_wet","et_morton_wet_source","et_short_crop","et_short_crop_source","et_tall_crop","et_tall_crop_source","evap_comb","evap_comb_source","evap_morton_lake","evap_morton_lake_source","evap_pan","evap_pan_source","evap_syn","evap_syn_source","extracted","latitude","longitude","mslp","mslp_source","radiation","radiation_source","rainfall","rainfall_source","rh_tmax","rh_tmax_source","rh_tmin","rh_tmin_source","vp","vp_deficit","vp_deficit_source","vp_source"
"008028","Nabawa",1998,1,1,1998-01-01,30.7,25,18.3,25,"145.0 m",4.3,26,10.2,26,7.2,26,7,26,8.7,26,11.6,25,8,26,11.6,25,10.3,26,2024-11-13,-28.5008,114.7897,1012.8,25,31.5,25,0,0,33.5,26,70.4,26,14.8,22.1,26,25
"008028","Nabawa",1998,1,2,1998-01-02,30.2,25,17.8,25,"145.0 m",4.2,26,10.4,26,7.3,26,7.1,26,8.8,26,11.5,25,8.1,26,11.5,25,10.4,26,2024-11-13,-28.5008,114.7897,1014.8,25,32.2,42,0,0,31.7,26,66.8,26,13.6,22.3,26,25
"008028","Nabawa",1998,1,3,1998-01-03,31.9,25,20.7,25,"145.0 m",3,26,12.1,26,7.5,26,7.7,26,9.9,26,11,25,8.3,26,11,25,11.1,26,2024-11-13,-28.5008,114.7897,1013.8,25,32.4,42,0,0,25.6,26,49.6,26,12.1,28.2,26,25
"008028","Nabawa",1998,1,4,1998-01-04,32.7,25,15.3,25,"145.0 m",5.2,26,9.8,26,7.5,26,7.1,26,8.9,26,10,25,8.3,26,10,25,10.7,26,2024-11-13,-28.5008,114.7897,1011.5,25,32.4,42,0,0,32.1,26,91.5,26,15.9,22.7,26,25
"008028","Nabawa",1998,1,5,1998-01-05,37.6,25,18.6,25,"145.0 m",2.7,26,11.3,26,7,26,7.7,26,10.1,26,13.1,25,7.7,26,13.1,25,11.6,26,2024-11-13,-28.5008,114.7897,1008.1,25,28.5,42,0,0,24.1,26,72.8,26,15.6,34.3,26,25
"008028","Nabawa",1998,1,6,1998-01-06,40.7,25,25.2,25,"145.0 m",0,26,11,26,5.5,26,7.2,26,10.1,26,9.9,25,5.9,26,9.9,25,11.8,26,2024-11-13,-28.5008,114.7897,1008.2,25,18.6,42,0,0,18.9,26,45.2,26,14.5,47.7,26,25
"008028","Nabawa",1998,1,7,1998-01-07,31.1,25,21.4,25,"145.0 m",7.8,26,9,26,8.4,26,6.5,26,7.4,26,9.2,25,8.6,26,9.2,25,9.3,26,2024-11-13,-28.5008,114.7897,1011.8,25,30.7,42,0,0,53.8,26,95.4,26,24.3,15,26,25
"008028","Nabawa",1998,1,8,1998-01-08,29.7,25,21.4,25,"145.0 m",6.1,26,9.2,26,7.6,26,6.6,26,7.8,26,10.3,25,8.4,26,10.3,25,9.5,26,2024-11-13,-28.5008,114.7897,1012.6,25,31.1,42,0,0,49.2,26,80.5,26,20.5,16.5,26,25
"008028","Nabawa",1998,1,9,1998-01-09,32.2,25,18.5,25,"145.0 m",4.9,26,10.3,26,7.6,26,7.2,26,8.9,26,10.2,25,8.4,26,10.2,25,10.6,26,2024-11-13,-28.5008,114.7897,1012.1,25,32.2,42,0,0,34.1,26,77,26,16.4,23.1,26,25
"008028","Nabawa",1998,1,10,1998-01-10,35.1,25,16.7,25,"145.0 m",5.2,26,10.2,26,7.7,26,7.5,26,9.3,26,11,25,8.6,26,11,25,11.1,26,2024-11-13,-28.5008,114.7897,1011.2,25,32.1,42,0,0,31.3,26,93.2,26,17.7,26,26,25
"008028","Nabawa",1998,1,11,1998-01-11,35.2,25,18.9,25,"145.0 m",3.7,26,11.5,26,7.6,26,7.7,26,9.9,26,12.4,25,8.4,26,12.4,25,11.4,26,2024-11-13,-28.5008,114.7897,1009.9,25,31.5,42,0,0,26.4,26,68.7,26,15,30.2,26,25
"008028","Nabawa",1998,1,12,1998-01-12,30.3,25,20.6,25,"145.0 m",4.1,26,9.7,26,6.9,26,6.7,26,8.3,26,10.8,25,7.7,26,10.8,25,9.8,26,2024-11-13,-28.5008,114.7897,1010,25,29.4,42,0,0,38.5,26,68.4,26,16.6,20.9,26,25
"008028","Nabawa",1998,1,13,1998-01-13,29.2,25,15.8,25,"145.0 m",5.6,26,8.7,26,7.1,26,6.4,26,7.7,26,8.6,25,8,26,8.6,25,9.7,26,2024-11-13,-28.5008,114.7897,1011.6,25,31.7,42,0,0,40.5,26,91.4,26,16.4,16.9,26,25
"008028","Nabawa",1998,1,14,1998-01-14,30.5,25,16.8,25,"145.0 m",6.3,26,8.9,26,7.6,26,6.6,26,7.8,26,8.7,25,8.3,26,8.7,25,9.9,26,2024-11-13,-28.5008,114.7897,1015.3,25,32,42,0,0,42.1,26,96.2,26,18.4,17.4,26,25
"008028","Nabawa",1998,1,15,1998-01-15,30.6,25,18.1,25,"145.0 m",6.4,26,9.2,26,7.8,26,6.8,26,8,26,10,25,8.6,26,10,25,10,26,2024-11-13,-28.5008,114.7897,1014.1,25,32.7,42,0,0,43.3,26,91.5,26,19,17.7,26,25
"008028","Nabawa",1998,1,16,1998-01-16,27.1,25,18.3,25,"145.0 m",4.3,26,6.6,26,5.5,26,4.7,26,5.7,26,8.5,25,5.6,26,8.5,25,7.9,26,2024-11-13,-28.5008,114.7897,1014.7,25,22,42,0,0,53,26,90.4,26,19,12.5,26,25
